Código do Termo (Tab 22 - TUSS);Termo (Tab 22 - TUSS)
40324060;Epstein BARR vírus antígeno precoce, anticorpos
40324079;HIV1/2, anticorpos (teste rápido)
40324087;Imunoglobulina M, dosagem no líquor
40324095;LKM, pesquisa de anticorpos por Western Blot
40324109;Norovirus, pesquisa
40324117;Profilagrina, anticorpos IgG
40324125;Proteinase 3, anticorpo
40324141;SP 100/PML, anticorpo IgG
40324150;Neuronal nuclear IgG, anticorpos, soro
40324168;Complemento C1 R, pesquisa e/ou dosagem
40324176;Chikungunya, anticorpos
40324184;Gangliosídeo 4, anticorpos
40324192;Antígeno NS1 do vírus da dengue, pesquisa
40324206;Antígenos de histocompatibilidade (séries A ou B)
40324214;Anticorpos contra canal de potássio regulado por voltagem
40324222;Fosfatidilserina, anticorpos IgG
40324230;Fosfatidilserina, anticorpos IgM
40324249;Fosfatidilserina, anticorpos IgA
40324257;HU (anti neurônio), anticorpos
40324265;Cadeias leves livres Kappa/Lambda, dosagem, sangue
40324273;Cadeias leves livres Kappa/Lambda, dosagem, líquor
40324290;Chlamydia pneumoniae, anticorpos, IgA
40324303;CTX interligadores C terminais
40324311;Profilagrina, anticorpos, soro
40324320;Filagrina, anticorpos, soro
40324338;Glicoproteína Beta 2, anticorpos, IgG
40324346;Glicoproteína Beta 2, anticorpos, IgM
40324354;Glicoproteína Beta 2, anticorpos, IgA
40324362;Hepatite E - anticorpos IgG
40324370;Hepatite E - anticorpos, IgM
40324389;HLA-DQ, teste de histocompatibilidade de alta resolução, sangue total
40324397;Imunoglobulina G, líquor
40324400;Mitocôndria, pesquisa de anticorpos por Western Blot, soro
40324419;Saccharomyces cerevisiae (ASCA), anticorpos, IgA
40324427;Saccharomyces cerevisiae (ASCA), anticorpos, IgG
40324435;Receptor insulina, anticorpos
40324443;Rotavírus, anticorpos
40324451;Antígeno HTLV III (HIV), EIE
40324460;Estreptococus A, sorologia
40324478;Imunoglobulina A, dosagem no líquor
40324486;Trichinella Spiralis, anticorpos
40324494;RNA Polimerase III, anticorpos
40324508;Mycobacterium Tuberculosis, IgM, anticorpos
40324516;Células Sesary, pesquisa
40324524;Determinação de Apoptose
40324532;Tirosina Fosfatase (IA2), anticorpos
40324559;Dengue, anticorpos IgG, soro (teste rápido)
40324567;Dengue, anticorpos IgM, soro (teste rápido)
40324575;Ehrlichia chaffeensis, sorologia para
40324583;Toxina butoliníca A, anticorpo
40324591;Vírus Zika - IgG
40324605;Vírus Zika – IgM
40324613;Febre amarela - IgG
40324621;Febre amarela - IgM
40324630;Febre amarela, pesquisa por PCR
40324648;Ensaio para dosagem da liberação de interferon gama
40324656;Anticorpo anti-NMDAR
40324664;Anticorpo anti-MOG
40324672;Anticorpo anti-AMPAR, dosagem sangue
40324680;Anticorpos anti-GABAR
40324699;Anticorpos anti-LGI1, dosagem sangue
40324702;Anticorpos anti-CASPR2
40324710;Anticorpos anti-HMG-CoA redutase (anti-hmgcoar), dosagem
40324729;Anticorpos anti tiroquinase músculo específica (anti-MUSK), dosagem
40324737;Anticorpos anti-VGKC, dosagem
40324745;Anticorpo anti-LGi1, dosagem líquor
40324753;Anticorpo anti-AMPAR, dosagem líquor
40324761;Anti HU (ANNA1), dosagem líquor
40324770;SARS-CoV-2 (Coronavírus COVID-19), pesquisa de anticorpos IgA, IgG ou IgM (cada par)
40324788;SARS-CoV-2 (Coronavírus COVID-19), pesquisa de anticorpos IgA, IgG ou IgM, isolada por classe de imunoglobulina
40324796;SARS-CoV-2 (Coronavírus COVID-19), pesquisa de anticorpos totais (IgA, IgG, IgM)
40324800;Teste anti-SARS-CoV-2 (Coronavírus COVID-19), pesquisa quantitativa de anticorpos (IgG) neutralizantes
40325016;Teste SARS-COV-2 (Coronavírus COVID-19), teste rápido para anticorpos totais, IgM ou IgG, IgM e IgG
40325024;Teste SARS-COV-2 (Coronavírus COVID-19), teste rápido para detecção de antígeno
40325040;Mycobacterium leprae (bacilo de hansen), IgM, anticorpos (teste rápido)
40401014;Transfusão (ato médico ambulatorial ou hospitalar)
40401022;Transfusão (ato médico de acompanhamento)
40401030;Exsanguíneo  transfusão
40401049;Transfusão fetal intra-uterina
40401057;Aférese para paciente ABO incompatível
40402010;Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória
40402029;Material descartável (kit) e soluções para utilização de processadora automática de sangue/aférese
40402037;Sangria terapêutica
40402045;Unidade de concentrado de hemácias
40402053;Unidade de concentrado de hemácias lavadas
40402061;Unidade de concentrado de plaquetas por aférese
40402070;Unidade de concentrado de plaquetas randômicas
40402088;Unidade de crioprecipitado de fator anti-hemofílico
40402096;Unidade de plasma
40402100;Unidade de sangue total
40402118;Deleucotização de unidade de concentrado de hemácias - por unidade
40402126;Deleucotização de unidade de concentrado de plaquetas - até 6 unidades
40402134;Irradiação de componentes hemoterápicos
40402142;Deleucotização de unidade de concentrado de plaquetas - entre 7 e 12 unidades
40402150;Unidade de concentrado de granulócitos
40402169;Unidade de concentrado de plaquetas (dupla centrifugação)
40402177;Concentrado de hemácias CMV negativos
40402185;Operação de processadora automática de sangue em aférese
40402193;Operação de processadora automática de sangue em autotransfusão intra-operatória
40402207;Depleção de plasma em TCTH alogênicos com incompatibilidade ABO menor
40402215;Sedimentação de hemácias em Transplante de Células-Tronco Hematopoéticas (TCTH) alogênicos com incompatibilidade ABO maior
40402223;Operação  de  processadora de  sangue  em  fotoaférese  extra  corpórea  (FEC) 
40402231;Material descartável contendo kit para sistema integrado de FEC e solução fotossensibilizante
40403017;Acompanhamento  hospitalar/dia  do  transplante   de  medula   óssea  por médico  hematologista  e/ou hemoterapeuta
40403025;Anticorpos eritrocitários naturais e imunes - titulagem
40403033;Aplicação de medula óssea ou células tronco
40403041;Coleta de células tronco de sangue de cordão umbilical para transplante de medula óssea
40403050;Coleta de células tronco por processadora automática para transplante de medula óssea - por procedimento de aférese
40403068;Coleta de biópsia de medula óssea por agulha
40403076;Coleta de medula óssea para transplante - por procedimento
40403084;Determinação de células CD34, CD45 positivas - Citômetro de Fluxo
40403092;Determinação de conteúdo de DNA - Citômetro de Fluxo
40403106;Eletroforese de hemoglobina por componente hemoterápico
40403130;Fenotipagem de outros sistemas eritrocitários - por fenótipo
40403149;Fenotipagem de outros sistemas eritrocitários - por fenótipo - gel teste
40403157;Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste
40403165;Fenotipagem do sistema RH-HR (D, C, E, C, E)
40403173;Grupo sanguíneo ABO e RH - pesquisa
40403181;Grupo sanguíneo ABO e RH - gel teste - pesquisa
40403190;Identificação de anticorpos séricos irregulares antieritrocitários - método de eluição
40403203;Identificação de anticorpos séricos irregulares antieritrocitários - painel de hemácias enzimático
40403211;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias
40403220;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias tratadas por enzimas
40403238;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias - gel liss
40403246;Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo
40403254;Imunofenotipagem para classificação de leucemias - Citômetro de Fluxo
40403262;NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem
40403289;NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem
40403327;Pesquisa de anticorpos séricos antieritrocitários, anti-A e/ou anti-B - gel teste
40403335;Pesquisa de anticorpos séricos antieritrocitários, anti-A e/ou anti-B - em tubo
40403343;Pesquisa de anticorpos séricos irregulares antieritrocitários - em tubo
40403351;Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste
40403360;Pesquisa de anticorpos séricos irregulares antieritrocitários - método de eluição - em tubo
40403378;Pesquisa de anticorpos séricos irregulares antieritrocitários a frio
40403386;Pesquisa de hemoglobina S por componente hemoterápico - gel teste
40403408;Prova de compatibilidade pré-transfusional completa - em tubo
40403416;Prova de compatibilidade pré-transfusional completa - gel teste
40403424;S. Anti-HTLV-I + HTLV-II (determinação conjunta) por componente hemoterápico
40403440;S. Chagas EIE por componente hemoterápico - pesquisa e/ou dosagem
40403467;S. Hepatite B anti-HBC por componente hemoterápico - pesquisa e/ou dosagem
40403483;S. Hepatite C anti-HCV por componente hemoterápico - pesquisa e/ou dosagem
40403505;S. HIV EIE por componente hemoterápico - pesquisa e/ou dosagem
40403521;S. Malária IFI por componente hemoterápico - pesquisa e/ou dosagem
40403548;S. Sífilis EIE por componente hemoterápico - pesquisa e/ou dosagem
40403564;S. Sífilis FTA - ABS por componente hemoterápico - pesquisa e/ou dosagem
40403580;S. Sífilis HA por componente hemoterápico - pesquisa e/ou dosagem
40403602;S. Sífilis VDRL por componente hemoterápico - pesquisa e/ou dosagem
40403629;S. Chagas HA por componente hemoterápico - pesquisa e/ou dosagem
40403645;S. Chagas IFI por componente hemoterápico - pesquisa e/ou dosagem
40403661;S. Hepatite B (HBsAg) RIE ou EIE por componente hemoterápico - pesquisa e/ou dosagem
40403688;Teste de Coombs direto - em tubo
40403696;Teste de Coombs direto - gel teste
40403700;Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste
40403718;Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste
40403726;TMO - congelamento de medula óssea ou células tronco periféricas - por procedimento
40403734;TMO - cultura de linfócitos doador e receptor
40403742;TMO - descongelamento de medula óssea ou células tronco
40403750;TMO - determinação de HLA   transplantes de medula óssea - loci DR e DQ (alta resolução)
40403769;TMO - determinação de HLA para transplantes de medula óssea - loci A e B
40403777;TMO - determinação de HLA para transplantes de medula óssea - loci DR e DQ (baixa resolução)
40403785;TMO - determinação de unidades formadoras de colônias
40403793;TMO - determinação de viabilidade de medula óssea
40403807;TMO - manutenção de congelamento de medula óssea ou células tronco (até 2 anos)
40403815;TMO - preparo de medula óssea ou células tronco periféricas para congelamento - por procedimento 
40403823;TMO - preparo e filtração de medula óssea ou células tronco na coleta - por procedimento
40403831;"TMO - tratamento ""in vitro"" de medula óssea ou células tronco por anticorpos monoclonais (purging)(4) - por procedimento"
40403840;Transaminase pirúvica - TGP ou ALT por componente hemoterápico - pesquisa e/ou dosagem
40403890;NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem
40403912;Estimulação e mobilização de células CD34 positivas
40403920;Determinação do fator RH (D), incluindo prova para D-fraco no sangue do receptor
40403939;Doação autóloga com recuperação intra-operatória
40403947;Doação autóloga peri-operatória por hemodiluição normovolêmica
40403955;Doação autóloga pré-operatória
40403963;Exames imunohematológicos em recém-nascidos: tipificação ABO e RH, pesquisa de D fraco RH(D) e prova da antiglobulina direta
40403971;Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários
40403980;Investigação da presença de anti-A ou anti-B, em soro ou plasma de neonato, com métodos que incluam uma fase antiglobulínica
40403998;Tipificação ABO, incluindo tipagem reversa no sangue do receptor (sem tipagem reversa até 4 meses de idade)
40404013;TMO - prova cruzada para histocompatibilidade de transplante de medula óssea
40404030;Antigenemia para diagnóstico de CMV pós transplante
40404048;Avaliação quimerismo - VNTR ou STR - doador - pré transplante
40404056;Avaliação quimerismo - VNTR ou STR - paciente - pré transplante
40404064;Análise quimerismo receptor - VNTC ou STR - paciente - pós transplante
40404072;Coleta de linfócitos de sangue periférico por aférese para tratamento de recidivas pós TCTH alogênico
40404080;Controle microbiológico da medula óssea no TCTH alogênico
40404099;Controle microbiológico das células tronco periféricas no TCTH alogênico
40404110;PCR em tempo real para diagnóstico de adenovírus
40404129;PCR em tempo real para diagnóstico de EBV - pós transplante
40404137;PCR em tempo real para diagnóstico de Herpes virus 6 - pos transplante
40404145;PCR em tempo real para diagnóstico de Herpes virus 8 - pos transplante
40404153;PCR em tempo real para os vírus parainfluenza e influenza
40404161;PCR em tempo real para vírus respiratório sincicial
40404170;Quantificação de CD14 da coleta de células tronco periféricas para TCTH alogênico
40404188;Quantificação de CD19 da coleta de células tronco periféricas para TCTH alogênico
40404196;Quantificação de CD3  da coleta de células tronco periféricas para TCTH alogênico
40404200;Quantificação de CD3  da coleta de linfócitos para tratamento de recidivas pós TCTH alogênico
40404218;Quantificação de CD4 da coleta de células tronco periféricas para TCTH alogênico
40404226;Quantificação de CD8 da coleta de células tronco periféricas para TCTH alogênico
40404234;Quantificação de leucócitos totais da coleta de células tronco periféricas para TCTH alogênico
40404242;Quantificação de leucócitos totais da Medula Óssea no TCTH alogênico
40404269;Viabilidade celular dos linfócitos periféricos por citometria de fluxo para tratamento das recidivas pós TCTH alogênico
40404277;Viabilidade celular da medula óssea por citometria de fluxo após o descongelamento
40404285;Viabilidade celular das células tronco periféricas por citometria de fluxo após o descongelamento
40404293;Genotipagem Duffy_Gata
40404307;Genotipagem Kell
40404315;Genotipagem Kidd
40404323;Genotipagem para zigosidade D
40404331;Genotipagem RhD parcial
40404340;Imunofluorescência direta de pele
40404358;Descalcificação de tecido, anatomia patológica
40404366;NAT teste de ácido nucleico HIV/HCV/HBV
40404374;S. Anticorpo anti-CMV (IgG), por unidade de sangue total
40404382;S. Anticorpo anti-CMV (IgM), por unidade de sangue total
40404390;Concentrado de hemácias raras congeladas
40404404;Fenotipagem do sistema RH-HR (D, C, E, C, E) e Kell
40404412;Fotoférese
40404420;Genotipagem completa plaquetária (HPA 1, 6 e 15)
40404439;Genotipagem HPA por sistema
40404447;Genotipagem RHD, Cc, Ec, Pse, K, Kid, Df, Gata
40404455;Genotipagem RHD, Cc, Ee, Pseudogene
40404463;Genotipagem RHD, Cc, Ee, Pseudogene, Kell
40404471;Genotipagem Ss
40404480;Granulócitos CMV negativos
40404498;Pesquisa de hemolisina
40404501;Pesquisa e identificação de anticorpos plaquetários (MAIPA)
40404510;Plaquetaférese CMV negativos
40404528;Plaquetaférese HLA compatível
40404536;Prova de compatibilidade para transfusão de plaquetas (MAIPA)
40404544;Técnicas de adsorção
40404552;Controle bacteriológico para concentrado de plaquetas
40404560;Pesquisa de anticorpos séricos irregulares antieritrocitários - método de eluição - gel teste
40404579;Identificação de anticorpos anti-eritrocitários a frio em gel
40501019;Cariótipo com bandas de pele, tumor e demais tecidos
40501027;Cariótipo com pesquisa de troca de cromátides irmãs
40501035;Cariótipo com técnicas de alta resolução
40501043;Cariótipo de medula (técnicas com bandas)
40501051;Cariótipo de sangue (técnicas com bandas)
40501060;Cariótipo de sangue obtido por cordocentese pré-natal
40501078;Cariótipo de sangue-pesquisa de marcadores tumorais
40501086;Cariótipo de sangue-pesquisa de sítio frágil X
40501094;Cariótipo em vilosidades coriônicas (cultivo de trofoblastos)
40501108;Cariótipo para pesquisa de instabilidade cromossômica
40501116;Cromatina X ou Y
40501124;Cultura de material de aborto e obtenção de cariótipo
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501140;Diagnóstico genético pré-implantação por fish, por sonda
40501159;Fish em metáfase ou núcleo interfásico, por sonda
40501167;Fish pré-natal, por sonda
40501175;Líquido amniótico, cariótipo com bandas
40501183;Líquido amniótico, vilosidades coriônicas, subcultura para dosagens bioquímicas e/ou moleculares (adicional)
40501191;Subcultura de pele para dosagens bioquímicas e/ou moleculares (adicional)
40501205;Estudo de alterações cromossômicas em leucemias por FISH (Fluorescence In Situ Hybridization)
40501213;Pesquisa de translocação PML/RAR-a
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501230;Cultura de fibroblastos (pele)
40501248;HER2 FISH para amplificação gênica em tumor de mama
40501256;HER2 CISH para amplificação gênica em tumor de mama
40501264;"Translocação PML/RARA  t(15;17) FISH em medula óssea"
40501272;"Translocação PML/RARA  t(15;17) FISH em sangue periférico"
40501280;Hibridização in situ pela prata ou cromogênica  (CISH) - Histoquímica
40502015;Marcadores bioquímicos extras, além de BHCG, AFP e PAPP-A, para avaliação do risco fetal, por marcador, por amostra
40502040;Baterias de testes químicos de triagem em urina para erros inatos do metabolismo (mínimo de seis testes)
40502058;Determinação do risco fetal, com elaboração de laudo
40502066;Dosagem quantitativa de ácidos orgânicos, carnitina, perfil de acilcarnitina, ácidos graxos de cadeia muito longa, para o diagnóstico de erros inatos do metabolismo (perfil em uma amostra)
40502074;Dosagem quantitativa de aminoácidos para o diagnóstico de erros inatos do metabolismo (perfil de aminoácidos numa amostra)
40502082;Dosagem quantitativa de metabólitos na urina e/ou sangue para o diagnóstico de erros inatos do metabolismo (cada)
40502090;Eletroforese ou cromatografia (papel ou camada delgada) para identificação de aminoácidos ou glicídios ou oligossacarídios ou sialoligossacarídios glicosaminoglicanos ou outros compostos para detecção de erros inatos do metabolismo (cada)
40502104;Ensaios enzimáticos em células cultivadas para diagnóstico de EIM, incluindo preparo do material, dosagem de proteína e enzima de referência (cada)
40502112;Ensaios enzimáticos em leucócitos, eritrócitos ou tecidos para diagnóstico de EIM, incluindo preparo do material, dosagem de proteína e enzima de referência (cada)
40502120;Ensaios enzimáticos no plasma para diagnóstico de EIM, incluindo enzima de referência (cada)
40502139;Teste duplo - 1 trimestre (PAPP-A+Beta-HCG) ou outros 2 em soro ou líquido aminiótico com elaboração de laudo contendo cálculo de risco para anomalias fetais
40502147;Teste duplo - 2 trimestre (AFP+Beta-HCG) ou outros 2 em soro ou líquido aminiótico com elaboração de laudo contendo cálculo de risco para anomalias fetais
40502155;Teste triplo (AFP+Beta-HCG+Estriol) ou outros 3 em soro ou líquido aminiótico com elaboração de laudo contendo cálculo de risco para anomalias fetais
40502163;Testes químicos de triagem em urina para erros inatos do metabolismo (cada)
40502171;Dosagem quantitativa de carnitina e perfil de acilcarnitina, para o diagnóstico de erros inatos do metabolismo
40502180;Dosagem quantitativa de ácidos graxos de cadeia muito longa  para o diagnóstico de EIM
40502198;Dosagem quantitativa de metabólitos por cromatografia / espectrometria de massa  (CG/MS ou HPLC/MS ) para o diagnóstico de EIM
40502201;Dosagem quantitativa de metabólitos por espectrometria de massa ou espectrometria de massa em TANDEM (MS OU MS/MS) para o diagnóstico de EIM
40502210;Terapia de reposição enzimática por infusão endovenosa, por procedimento
40502228;Rastreamento neonatal para o diagnósitco de EIM e outras doenças
40502236;Dosagem quantitativa de ácidos orgânicos para o diagnóstico de erros inatos do metabolismo (perfil de ácidos orgânicos numa amostra)
40502244;Defeitos congênitos da glicolização - Focalização isoelétrica da transferrina
40503011;Análise de DNA com enzimas de restrição por enzima utilizada, por amostra
40503020;Análise de DNA fetal por enzima de restrição, por enzima utilizada, por amostra (adicional nos exames em que já foi feito o PCR 4.05.03.06-2 e depende da enzima para estabelecer o diagnóstico)
40503038;Análise de DNA fetal por sonda ou PCR por locus, por amostra
40503046;Análise de DNA pela técnica multiplex por locus extra, por amostra
40503054;Análise de DNA pela técnica multiplex por locus, por amostra
40503062;Análise de DNA por sonda, ou PCR por locus, por amostra
40503070;Diagnóstico genético pré-implantação por DNA, por sonda de FISH ou por primer de PCR, por amostra
40503089;Extração de DNA (osso), por amostra
40503097;Extração de DNA (sangue, urina, líquido aminiótico, vilo trofoblástico etc.), por amostra
40503100;Identificação de mutação por sequenciamento do DNA, por 100 pares de base sequenciadas, por amostra
40503119;Processamento de qualquer tipo de amostra biológica para estabilização do ácido nucléico, por amostra
40503127;Extração, purificação e quantificação de ácido nucléico de qualquer tipo de amostra biológica, por amostra
40503135;Transcrição reversa de RNA, por amostra
40503143;Amplificação do material genético (por PCR, PCR em tempo Real, LCR, RT-PCR ou outras técnicas), por primer utilizado, por amostra
40503151;Análise de DNA por MLPA, por sonda de DNA utilizada, por amostra
40503160;Análise de DNA pela técnica de Southern Blot, por sonda utilizada, por amostra
40503178;Produção de DOT/SLOT-BLOT, por BLOT, por amostra
40503186;Separação do material genético por eletroforese capilar ou em gel (agarose, acrilamida), por gel utilizado, por amostra
40503194;Rastreamento de exon mutado (por gradiente de desnaturação ou conformação de polimorfismo de fita simples ou RNAse ou Clivagem Química ou outras técnicas) para identificação de fragmento mutado, por fragmento analisado, por amostra
40503208;Coloração de gel e Fotodocumentação da análise molecular, por amostra
40503216;Interpretação e elaboração do laudo da análise genética, por amostra
40503224;Análise de expressão gênica por locus, por amostra, por CGH array, SNP array ou outras técnicas
40503232;Detecção pré-natal ou pós-natal de alterações cromossômicas submicroscópicas reconhecidamente causadoras de síndrome de genes contíguos, por FISH, qPCR ou outra técnica, por locus, por amostra
40503240;Rastreamento pré-natal ou pós-natal de todo o genoma para  identificar alterações cromossômicas submicroscópicas por CGH-array ou SNP-array ou outras técnicas, por clone ou oligo utilizado, por amostra
40503259;Validação pré-natal ou pós-natal de alteração cromossômica submicroscópica detectada no rastreamento genômico, por FISH ou qPCR ou outra técnica, por locus, por amostra
40503267;Translocação AML1-ETO t(8,21) por PCR
40503275;Análise da mutação IgVH-cadeia pesada da imunoglobulina
40503283;CCR-5, pesquisa de mutação por PCR
40503291;Citocromo P450 2C19 genotipagem
40503305;Colinesterase, estudo genético
40503313;Cromossomo Y, microdeleções por PCR
40503321;Diabetes tipo MODY 2, teste genético
40503330;Diabetes tipo MODY 3, teste genético
40503348;Distrofia miotonica, análise por DNA
40503356;Disautonomia familiar, análise por DNA
40503364;Neurofibromatose tipo 1, estudo molecular
40503372;JAK2 (gene), detecção das mutações por PCR
40503380;CCND1 e IGH (genes), hibridização in situ por fluore
40503399;Hemofilia A, análise do DNA
40503402;Hemofilia B, análise do DNA
40503410;Hipolactasia, análise molecular
40503429;Hormônio de crescimento, estudo do gene receptor
40503437;Hormônio de crescimento, estudo molecular do gene
40503445;Neoplasia endócrina múltipla, tipo 1, sangue total
40503453;Hemocromatose, análise por PCR
40503461;Prader-Willi/Angelman, síndrome, diagnóstico
40503470;PROP1, estudo molecular do gene, sangue total
40503488;PTPN11, estudo molecular do gene, sangue total
40503496;Rearranjo 8q24 fish (medula óssea)
40503500;Rearranjo 8q24 fish (sangue)
40503518;Rearranjo BCL6 3q27 (NHL) fish
40503526;Rearranjo gênico células B por PCR
40503534;Rearranjo gênico células T por PCR
40503542;Rearranjo gênico quantitativo BCR/ABL por PCR
40503550;Receptor 4 do melanocorticotropina, estudo molecular do gene
40503569;Sensibilidade genética a Warfarina padrão
40503577;SHOX, estudo molecular do gene, sangue total
40503585;"Translocação 4;14 fish (IgH/FGFR3)"
40503593;C kit análise mutacional
40503607;CYP21, estudo molecular do gene, sangue
40503615;Detecção de Del/Dupl no gene MLH1 MSH2
40503623;Detecção de mutações no gene MLH1 MSH2
40503631;Detecção de mutações no gene MSH6
40503640;FLT3 pesquisa de mutações por PCR (cada)
40503658;Atrofia muscular e bulbar (Kennedy), por PCR
40503666;MPL W515 e MPL S505 análise mutacional
40503674;Mucolipidosis tipo 4 análise da mutação
40503682;FLT3 pesquisa de mutações por eletroforese capilar (cada)
40503690;Distrofia muscular (Duchenne), por PCR
40503704;"Células B painel de linfoma, Burkitt's -T(8;14); Folicular - T(14;14) e células de manto - T(11;14), FISH"
40503712;Pesquisa dea mutação 35delg da conexina
40503720;Identificação genética - exame de paternidade (cada pessoa)
40503739;Atrofia dentato-rubro-palido-luysiana, DRPLA, sangue total
40503747;Detecção de Niemann Pick tipo Cc
40503755;Detecção/tipagem herpes vírus 1/2 líquor
40503763;EGFR, pesquisa de mutação
40503771;K-RAS, pesquisa de mutação
40503780;BRAF, pesquisa de mutação
40503798;NRAS  PCR ou sequenciamento de Sanger  para mutações nos éxons 2,  3 e 4 do gene, no tumor
40503801;Sequenciamento de Nova Geração (NGS) - genes isolados, painéis e grandes regiões genômicas (inclui Captura, Amplificação e Sequenciamento)
40503810;Sequenciamento de Nova geração de todas as regiões codificadoras (éxons) de todo os genes do genoma  - Sequenciamento do Exoma (inclui Captura, Amplificação e Sequenciamento)
40503828;"Rearranjo PML/RARA  t(15;17) RQ-PCR (Quantitativo em tempo real)"
40503836;Mutação familial específica - PCR do loccus identificado
40503844;Mutação familial específica - Sequenciamento de Sanger do loccus identificado
40503852;ALK - pesquisa de mutação
40503860;Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE ATÉ 20 KILOBASES DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS)
40503879;Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE 20 KILOBASES A 1 MEGABASE DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS)
40503887;Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE 1 MEGABASE A 30 MEGABASES DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS) 
40503895;"Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE MAIS DE 30 MEGABASES DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS); INCLUI EXOMA TUMORAL"
40503909;Quantificação  de  proteína  beta  amilóide-42,  no  líquido  cefalorraquidiano  (LCR)
40503917;Quantificação de carga viral HIV-1 (HIV RNA) no líquido cefalorraquidiano (LCR)
40503925;Quantificação  de  proteína  Tau-fosforilada,  no  líquido  cefalorraquidiano  (LCR)
40503933;Quantificação de proteína Tau-Total, no líquido cefalorraquidiano (LCR)
40503941;Detecção  de  anticorpo  IgG  anti-HTLV-1/2  no  líquido  cefalorraquidiano  (LCR)
40503950;Painel multiplex infeccioso no líquor - painel com até 25 agentes
40601013;Procedimento diagnóstico peroperatório sem deslocamento do patologista
40601021;Procedimento diagnóstico peroperatório - peça adicional ou margem cirúrgica
40601030;Procedimento diagnóstico peroperatório com deslocamento do patologista
40601048;Necrópsia de adulto/criança e natimorto com suspeita de anomalia genética
40601056;Necrópsia de embrião/feto até 500 gramas
40601064;Microscopia eletrônica
40601072;Ato de coleta de PAAF de órgãos ou estruturas superficiais sem deslocamento do patologista
40601080;Ato de coleta de PAAF de órgãos ou estruturas profundas sem deslocamento do patologista
40601099;Ato de coleta de PAAF de órgãos ou estruturas superficiais com deslocamento do patologista
40601102;Ato de coleta de PAAF de órgãos ou estruturas profundas com deslocamento do patologista
40601110;"Procedimento diagnóstico em biópsia simples ""imprint"" e ""cell block"""
40601129;Procedimento diagnóstico citopatológico oncótico de líquidos e raspados cutâneos
40601137;Procedimento diagnóstico em citopatologia cérvico-vaginal oncótica
40601145;Procedimento diagnóstico em citologia hormonal seriado
40601153;Procedimento diagnóstico em revisão de lâminas ou cortes histológicos seriados
40601161;Procedimento diagnóstico em citologia hormonal isolada
40601170;Procedimento diagnóstico em painel de imunoistoquímica (duas a cinco reações)
40601188;Procedimento diagnóstico em reação imunoistoquímica isolada
40601196;Procedimento diagnóstico em fragmentos múltiplos de biópsias de mesmo órgão ou topografia, acondicionados em um mesmo frasco
40601200;Procedimento diagnóstico em peça anatômica ou cirúrgica simples
40601218;Procedimento diagnóstico em peça cirúrgica ou anatômica complexa
40601226;Procedimento diagnóstico em grupos de linfonodos, estruturas vizinhas e margens de peças anatômicas simples ou complexas (por margem) - máximo de três margens
40601234;Procedimento diagnóstico em amputação de membros - sem causa oncológica
40601242;Procedimento diagnóstico em amputação de membros - causa oncológica
40601250;Procedimento diagnóstico em lâminas de PAAF até 5
40601269;Coloração especial por coloração
40601277;Procedimento diagnóstico em imunofluorescência
40601285;"Procedimento diagnóstico em painel de hibridização ""in situ"""
40601293;Procedimento diagnóstico por captura híbrida
40601307;Procedimento diagnóstico em citometria de fluxo (por monoclonal pesquisado)
40601315;Procedimento diagnóstico em citometria de imagens
40601323;Procedimento diagnóstico citopatológico em meio líquido
